07-01-2023 18:48,Shawn Mendes,There's Nothing Holdin' Me Back - Acoustic,520
07-01-2023 18:48,5 Seconds of Summer,Youngblood,5700
07-01-2023 18:48,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),900
07-01-2023 18:48,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),1180
07-01-2023 18:48,Michael Jackson,Beat It,0
07-01-2023 18:48,Michael Jackson,Beat It,1520
07-01-2023 18:48,Jason Derulo,Whatcha Say,1240
07-01-2023 18:48,Ed Sheeran,Galway Girl,1460
07-01-2023 18:51,5 Seconds of Summer,Youngblood,203417
07-01-2023 18:51,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),4292
07-01-2023 18:51,Michael Jackson,Beat It,970
07-01-2023 18:53,Jason Derulo,Whatcha Say,93790
07-01-2023 18:57,Miamariella,She knows - Slowed+Reverb,249090
07-01-2023 18:58,GAYLE,abcdefu,2740
07-01-2023 18:58,Tion Wayne,Body (Remix) [feat. Capo Plaza & Rondodasosa],61320
07-01-2023 19:00,Panic! At The Disco,House of Memories,145920
07-01-2023 19:01,KILLEDDY,BANGARANG,12570
07-01-2023 19:03,Lil Nas X,THATS WHAT I WANT,143901
07-01-2023 19:09,Doja Cat,Freak,284480
07-01-2023 19:12,Bruno Mars,Talking to the Moon,217866
07-01-2023 19:13,LISA,MONEY,830
07-01-2023 19:13,Glass Animals,Heat Waves,2583
07-01-2023 19:13,Cafuné,Tek It - Sped Up,630
07-01-2023 19:13,Powfu,death bed (coffee for your head),2150
07-01-2023 19:13,Em Beihold,Numb Little Bug,580
07-01-2023 19:16,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
07-01-2023 19:19,Smash Mouth,All Star,200373
07-01-2023 19:22,Dixie,Be Happy,198965
07-01-2023 19:26,The Weeknd,Blinding Lights,200040
07-01-2023 19:28,24kGoldn,CITY OF ANGELS,112493
07-01-2023 19:31,Sub Urban,Cradles,209829
07-01-2023 19:32,Rick Astley,Never Gonna Give You Up,4121
08-01-2023 01:30,Tai Verdes,AOK,53745
08-01-2023 13:34,Charlie Puth,Light Switch,1400
08-01-2023 13:34,AJR,World's Smallest Violin,3190
08-01-2023 13:36,K/DA,POP/STARS,10300
08-01-2023 13:36,Stellar,Stranger,132480
08-01-2023 13:40,Justin Bieber,Love Yourself,233720
08-01-2023 13:43,JVKE,anxiety.,156794
08-01-2023 13:47,Sun Goes Down,Glad You Came,198134
08-01-2023 13:50,VALORANT,VISIONS,225142
08-01-2023 13:51,VALORANT,All Eyes On Me,12554
08-01-2023 13:51,VALORANT,Fire Again,1830
08-01-2023 13:54,VALORANT,Die For You,212926
08-01-2023 13:54,Passenger,Let Her Go,3373
08-01-2023 14:49,Maroon 5,One More Night,219546
08-01-2023 14:50,Bruno Mars,Finesse,1520
08-01-2023 14:50,AJR,100 Bad Days,3360
08-01-2023 14:50,JVKE,anxiety.,590
08-01-2023 14:50,Imagine Dragons,Believer,2048
08-01-2023 14:51,Douglas Holmquist,Smash Hit Theme,66990
08-01-2023 14:53,OneRepublic,I Ain't Worried,148485
08-01-2023 14:54,Harry Styles,As It Was,920
08-01-2023 14:54,One Direction,Drag Me Down,1440
08-01-2023 14:54,Christopher Allen,Nurture,47514
08-01-2023 14:57,Harry Styles,As It Was,4000
08-01-2023 14:57,One Direction,Drag Me Down,192120
08-01-2023 15:01,Nathan Dawe,Lighter (feat. KSI),182439
08-01-2023 15:05,Maroon 5,Maps,189960
08-01-2023 15:08,Avicii,The Nights,176658
08-01-2023 15:11,JVKE,golden hour,209259
08-01-2023 15:13,JVKE,this is what falling in love feels like,120308
08-01-2023 16:40,Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),214265
08-01-2023 16:43,Ed Sheeran,Galway Girl,170826
08-01-2023 16:45,Stellar,Stranger,132480
08-01-2023 16:49,Coldplay,Viva La Vida,242373
08-01-2023 16:52,Stellar,Bad Dream,147840
08-01-2023 16:55,Shawn Mendes,Treat You Better,187973
08-01-2023 17:00,Ed Sheeran,Castle on the Hill,261153
08-01-2023 17:02,Stellar,Blur,131428
08-01-2023 17:06,Maroon 5,Memories,189486
08-01-2023 17:08,Ryan Mack,Overwhelmed (Ryan Mack Remix),103240
08-01-2023 17:24,Nathan Dawe,Lighter (feat. KSI & Ella Henderson) - Acoustic,35570
08-01-2023 17:27,Imagine Dragons,Bones,199321
08-01-2023 17:38,Crash Adams,Give Me a Kiss,15749
08-01-2023 18:47,Eminem,The Real Slim Shady,284200
08-01-2023 18:51,Eminem,Without Me,231600
08-01-2023 18:51,Eminem,The Real Slim Shady,546
09-01-2023 13:25,R. City,Locked Away (feat. Adam Levine),1810
09-01-2023 13:25,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,14390
09-01-2023 13:25,Eminem,The Real Slim Shady,1270
09-01-2023 13:29,VALORANT,VISIONS,225142
09-01-2023 13:30,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),12437
09-01-2023 13:32,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,158040
09-01-2023 13:36,Charlie Puth,Attention,208786
09-01-2023 13:40,Maroon 5,Moves Like Jagger,202640
09-01-2023 13:43,Charlie Puth,Light Switch,187703
09-01-2023 13:47,KSI,Holiday,193733
09-01-2023 13:50,JVKE,anxiety.,156794
09-01-2023 13:54,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),217706
09-01-2023 13:58,The Chainsmokers,Closer,244960
09-01-2023 14:33,Maroon 5,One More Night,219546
09-01-2023 15:07,Maroon 5,Payphone,231173
09-01-2023 15:10,Maroon 5,Memories,189486
09-01-2023 15:49,Eminem,The Real Slim Shady,284200
09-01-2023 16:58,Coldplay,Let Somebody Go,8169
09-01-2023 17:02,The Chainsmokers,Something Just Like This,247626
09-01-2023 17:04,Stellar,Bad Dream,147840
09-01-2023 17:07,OneRepublic,I Ain't Worried,148485
09-01-2023 17:11,Axwell /\ Ingrosso,More Than You Know,203000
09-01-2023 17:14,Shawn Mendes,Treat You Better,187973
09-01-2023 17:18,Shawn Mendes,Stitches,206880
09-01-2023 17:20,The Kid LAROI,STAY (with Justin Bieber),141805
09-01-2023 17:24,Marshmello,Happier,214289
09-01-2023 17:28,Imagine Dragons,Believer,204346
09-01-2023 17:31,Shawn Mendes,There's Nothing Holdin' Me Back,199440
09-01-2023 17:36,R. City,Locked Away (feat. Adam Levine),227480
09-01-2023 17:39,AJR,World's Smallest Violin,180746
09-01-2023 17:43,BANNERS,Someone To You,219801
09-01-2023 17:46,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
09-01-2023 17:50,Panic! At The Disco,High Hopes,190946
09-01-2023 17:52,Harry Styles,As It Was,167303
09-01-2023 17:57,AJR,Weak,201160
09-01-2023 18:00,Boyinaband,Life Is Fun,221181
09-01-2023 18:01,Passenger,Let Her Go,12805
09-01-2023 18:04,Bring Me The Horizon,Can You Feel My Heart,228146
09-01-2023 18:05,Lauv,I Like Me Better,4895
10-01-2023 14:15,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,158040
10-01-2023 15:41,Charlie Puth,Attention,46400
10-01-2023 16:32,The Score,Born For This,237375
10-01-2023 16:35,Arctic Monkeys,Fluorescent Adolescent,183893
10-01-2023 16:39,The Score,Revolution,231986
10-01-2023 16:44,The Weeknd,Starboy,230453
10-01-2023 16:44,AJR,100 Bad Days,16089
10-01-2023 16:46,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),111300
10-01-2023 16:50,Avicii,Waiting For Love,232873
10-01-2023 17:00,The Weeknd,Blinding Lights,183780
10-01-2023 17:04,The Weeknd,Die For You,260253
10-01-2023 17:13,Pop Smoke,Dior,216386
10-01-2023 17:21,Panic! At The Disco,House of Memories,5780
10-01-2023 17:21,Pop Smoke,Dior,18630
10-01-2023 17:22,Maroon 5,Sugar,6200
10-01-2023 17:22,BoyWithUke,Toxic,52270
10-01-2023 17:23,Meghan Trainor,Made You Look,19310
10-01-2023 17:23,Bruno Mars,24K Magic,24330
10-01-2023 17:25,K/DA,POP/STARS,3378
10-01-2023 17:25,Lil Nas X,THATS WHAT I WANT,143901
10-01-2023 17:25,Boyinaband,Life Is Fun,2210
10-01-2023 17:29,K/DA,POP/STARS,191100
10-01-2023 17:33,Christina Perri,A Thousand Years,285120
10-01-2023 17:35,K/DA,POP/STARS,1160
10-01-2023 17:35,Toby Fox,Good Night,1450
10-01-2023 17:35,Boyinaband,Life Is Fun,470
10-01-2023 17:35,Boyinaband,Life Is Fun,4843
10-01-2023 17:56,The Weeknd,Often,92690
10-01-2023 17:59,The Chainsmokers,All We Know,194080
11-01-2023 13:50,VGR,Overwatch (Victory Theme),118140
11-01-2023 13:50,Maroon 5,One More Night,1730
11-01-2023 13:54,Twenty One Pilots,Ride,214506
11-01-2023 17:47,K/DA,POP/STARS,2510
11-01-2023 17:47,Harry Styles,As It Was,2170
11-01-2023 17:47,Pharrell Williams,Despicable Me,114963
11-01-2023 17:47,J. Cole,No Role Modelz,2360
11-01-2023 17:47,Toby Fox,Death By Glamour,2390
11-01-2023 17:47,Superfruit,GUY.exe,5090
11-01-2023 17:47,Superfruit,GUY.exe,3070
11-01-2023 17:47,Toby Fox,Good Night,1450
11-01-2023 17:47,AJR,World's Smallest Violin,1110
11-01-2023 17:47,AJR,World's Smallest Violin,910
11-01-2023 17:50,The Score,Fighter,156666
11-01-2023 17:53,KSI,Summer Is Over,188560
11-01-2023 17:58,Twenty One Pilots,Ride,214506
11-01-2023 18:02,Arctic Monkeys,505,253586
11-01-2023 18:05,Imagine Dragons,Believer,204346
11-01-2023 18:10,VALORANT,VISIONS,225142
11-01-2023 18:13,Dixie,Be Happy,198965
11-01-2023 18:17,Lauv,I Like Me Better,197436
11-01-2023 18:20,Avicii,The Nights,176658
11-01-2023 18:23,Stellar,Bad Dream,147840
11-01-2023 18:25,Arctic Monkeys,Why'd You Only Call Me When You're High?,161123
11-01-2023 18:29,Shawn Mendes,Stitches,206880
11-01-2023 18:33,Panic! At The Disco,House of Memories,208706
11-01-2023 18:36,Alan Walker,Alone,160426
11-01-2023 18:37,Marshmello,Happier,7393
11-01-2023 18:41,The Weeknd,Starboy,230453
11-01-2023 18:44,Sub Urban,Cradles,209829
